db_n	db_fname	db_ftype	db_fqualifier	db_fx	dcm_tagname	dcm_formula	dcm_t	dcm_tag	ctn_tag	lkemod_tag	fmr_tag	hfm_tag	tomo_tag
1	patient_id	CHAR(8)	NOT NULL	prim_key	DBPatientID		t	FF00.0001	L.0010.0020	L.0010.0020	L.0010.0020	L.0010.0020	L0010.0020
1	patient_name	CHAR(48)		sec_key	DBPatientName		t	FF00.0011	L.0010.0010	L.0010.0010	L.0010.0010	L.0010.0010	L.0010.0010
1	series_number	INT	NOT NULL	prim_key	DBSeriesNumber		n	FF00.000B	L.0020.0011	L.0020.0011	L.0020.0011	L.0020.0011	L.0020.0011
1	study_date	CHAR(12)			DBStudyDate		d	FF00.0021	L.0008.0020	L.0008.0020	L.0008.0020	L.0008.0020	L.0008.0020
1	study_time	CHAR(12)			DBStudyTime		h	FF00.0022	L.0008.0030	L.0008.0030	L.0008.0030	L.0008.0030	L.0008.0030
1	study_utc	INT	NOT NULL		DBStudyUTC	&calcutc(#DBStudyDate:;'01.01.1970'#,#DBStudyTime:;'00:00:00'#);&	n	FF00.0023	L.FORMULA	L.FORMULA	L.FORMULA	L.FORMULA	L.FORMULA
1	series_date	CHAR(12)			DBSeriesDate		d	FF00.0029	L.0008.0021	L.0021.1100	L.0008.0021	L.0008.0021	L.0008.0021
1	series_time	CHAR(12)			DBSeriesTime		h	FF00.002A	L.0008.0031	L.0021.1110	L.0008.0031	L.0008.0031	L.0008.0031
1	series_utc	INT	NOT NULL	prim_key	DBSeriesUTC	&calcutc(#DBSeriesDate:;'01.01.1970'#,#DBSeriesTime:;'00:00:00'#);&	n	FF00.002B	L.FORMULA	L.FORMULA	L.FORMULA	L.FORMULA	L.FORMULA
1	patient_birthdate	CHAR(12)			DBPatientBirthdate		d	FF00.0012	L.0010.0030	L.0010.0030	L.0010.0030	L.0010.0030	L.0010.0030
1	patient_birthutc	INT			DBPatientBirthUTC	&calcutc(#DBPatientBirthdate:;'01.01.1970'#,'00:00:00');&	n	FF00.0013	L.FORMULA	L.FORMULA	L.FORMULA	L.FORMULA	L.FORMULA
1	patient_sex	CHAR(2)			DBPatientSex		c	FF00.0014	L.0010.0040	L.0010.0040	L.0010.0040	L.0010.0040	L.0010.0040
1	patient_weight	INT			DBPatientWeight		n	FF00.0015	L.0010.1030	L.0010.1030	L.0010.1030	L.0010.1030	L.0010.1030
1	study_description	CHAR(32)			DBStudyDescription		t	FF00.0031	L.0008.1030	L.0008.1030	L.0008.1030	L.0008.1030	L.0008.1030
1	series_description	CHAR(32)			DBSeriesDescription		t	FF00.0032	L.0008.103E	L.0018.4000	L.0018.4000	L.0018.4000	L.0008.4000
1	comments	CHAR(64)			DBComments		t	FF00.0033	L.0032.4000	L.0010.4000	L.0040.0280	L.0040.0280	L.0010.4000
1	modality	CHAR(8)			DBModality		t	FF00.0041	L.0008.0060	L.0008.0060	L.0008.0060	L.0008.0060	L.0008.0060
1	manufacturer	CHAR(32)			DBManufacturer		t	FF00.00C1	L.0008.0070	L.0008.0070	L.0008.0070	L.0008.0070	L.0008.0070
1	institution_name	CHAR(32)			DBInstitutionName		t	FF00.0081	L.0008.0080	L.0008.0080	L.0008.0080	L.0008.0080	L.0008.0080
1	referring_physicians_name	CHAR(32)			DBReferringPhysiciansName		t	FF00.0082	L.0008.0090	L.0008.0090	L.0008.0090	L.0008.0090	L.0008.0090
1	manufacturer_model_name	CHAR(32)			DBManufacturerModelName		t	FF00.00C2	L.0008.1090	L.0008.1090	L.0008.1090	L.0008.1090	L.0008.1090
1	scanning_sequence	CHAR(16)			DBScanningSequence		t	FF00.0042	L.0018.0020	L.0018.0020	L.0018.0020	L.0018.0020	L.0018.0020
1	scan_options	CHAR(16)			DBScanOptions		t	FF00.0043	L.0018.0022	L.0021.100F	L.0018.0022	L.0018.0022	L.0018.0022
1	mr_acquisition_type	CHAR(8)			DBMRAcquisitionType	!$self->value(['MRAcquisitionType','MRAcquisitionType','GyroNTMRAcquisitionType']->[$$DICOM::curdict -8],'2D')!	t	FF00.0044	L.0018.0023	L.FORMULA	L.0018.0023	L.0018.0023	L.0018.0023
1	slice_thickness	REAL			DBSliceThickness		n	FF00.1014	L.0018.0050	L.0018.0050	L.0018.0050	L.0018.0050	L.0018.0050
1	slice_orientation	CHAR(16)			DBSliceOrientation	!$self->value(['SliceOrientation','CTNSliceOrientation','GyroNTSliceOrientationText']->[$$DICOM::curdict -8],'2D')!	t	FF00.1024	L.2001.100B	L.FORMULA	L.2001.100B	L.2001.100B	
